subset,site_id,layer,segment,events,points,ccc,rmse_mm,mae_mm,bias_mm
all_events,405,moisture_4in,early_0_3h,549,4649,0.405668291739908,3.27467216084785,2.5332667723110758,0.17731805070840304
all_events,405,moisture_4in,post3_late_storage,115,1244,0.8168800386479964,2.138331356739979,0.6899405668377685,0.4114345821298714
all_events,405,moisture_4in,post3_mid_storage,70,748,0.9924415776803844,0.42096451616062125,0.31186443026505634,0.0779814624686887
all_events,405,moisture_8in,early_0_3h,152,1606,0.8638474297084712,2.2756495599378392,0.8561929376271284,0.43980472967630535
all_events,405,moisture_8in,post3_late_storage,72,900,0.9528883831166541,1.1767447590437872,0.49718211832537246,0.0426554923175583
all_events,405,moisture_8in,post3_mid_storage,60,1182,0.910720256984515,1.2892305917860303,0.8575708820379231,0.029869835973788787
all_events,415,moisture_4in,early_0_3h,12,129,0.6659808985335187,0.5798187956636763,0.4517140382660201,-0.03930162055778787
all_events,415,moisture_8in,early_0_3h,8,80,0.9789555436335602,0.3932443940342507,0.2814580526759253,-0.031240070027728363
all_events,420,moisture_12in,early_0_3h,12,130,0.9556362515813851,0.4735526266229461,0.33022870022846174,0.07824800288070705
all_events,420,moisture_16in,early_0_3h,9,102,0.9466421309572665,0.3985150155610948,0.31112589127860735,0.04386520091376467
all_events,420,moisture_4in,early_0_3h,160,1856,0.9709664496549223,1.0942484736539018,0.8363708441857124,-0.08152451415261233
all_events,420,moisture_4in,post3_late_storage,140,2291,0.9005317953786008,1.7670133191434374,1.0367413586877432,-0.5577131470906637
all_events,420,moisture_4in,post3_mid_storage,126,2227,0.9783002738462568,0.9609930787462355,0.5847433932290174,0.15466591304539445
all_events,420,moisture_8in,early_0_3h,22,240,0.9349088053090886,0.5575071229213481,0.4313198513506961,0.01750625791479319
all_events,420,moisture_8in,post3_late_storage,13,362,0.980020419683108,0.24434623564072308,0.17059244878274515,-0.05853498748496054
all_events,420,moisture_8in,post3_mid_storage,10,163,0.9719313486453393,0.267126686512463,0.18086623341710084,-0.034253849656166735
all_events,425,moisture_4in,early_0_3h,32,358,0.9690391746929434,0.47078253650310026,0.34820712034315404,0.06290947209453872
all_events,425,moisture_4in,post3_late_storage,23,360,0.9901367641411122,0.2755077754636479,0.19992254645701663,-0.04068942040195053
all_events,425,moisture_4in,post3_mid_storage,20,396,0.9539215512612872,0.4890474509966142,0.33841211221260925,-0.12004940063128812
all_events,430,moisture_12in,early_0_3h,11,130,0.9206517732967162,0.8284467764989216,0.646556428215358,0.07588979080981956
all_events,430,moisture_12in,post3_late_storage,10,345,0.9883534022522605,0.3212435581280363,0.15470769537380258,-0.07393676449286447
all_events,430,moisture_16in,early_0_3h,13,156,0.9901539369990073,0.6589021763037385,0.4033239251781057,0.026165507700086073
all_events,430,moisture_16in,post3_late_storage,12,210,0.9803748551424752,0.6816307745412558,0.30322455442767576,0.03346310136929523
all_events,430,moisture_16in,post3_mid_storage,8,125,0.9827466974068323,0.8633437666981125,0.5571176926337964,-0.047231863057134775
all_events,430,moisture_4in,early_0_3h,132,1483,0.21626449298293898,4.612164791579389,3.4198963017909234,-3.0629697135722345
all_events,430,moisture_4in,post3_late_storage,101,1637,0.9738265273233573,0.8132830371053346,0.38791005889152524,0.12254876415656807
all_events,430,moisture_4in,post3_mid_storage,79,1030,0.9380742972019971,1.3427733878278543,0.4985176851711855,0.1466488695240163
all_events,430,moisture_8in,early_0_3h,28,321,0.9813558702148228,0.7674951171677475,0.5665797988722978,0.08710175008499937
all_events,430,moisture_8in,post3_late_storage,21,626,0.9889949834575361,0.3612304306073942,0.24720745226655277,-0.0361526244264849
all_events,430,moisture_8in,post3_mid_storage,16,320,0.9926100628640833,0.42086338686444474,0.2980684863578994,-0.07503111347918964
all_events,435,moisture_4in,early_0_3h,9,107,0.9404827318196899,0.2722581065691488,0.20680469420934838,0.028243525229913722
all_events,435,moisture_4in,post3_late_storage,8,259,0.9261410533300153,0.2555932615738703,0.17795359198096927,-0.035006623647201474
all_events,440,moisture_12in,early_0_3h,31,220,0.1011129673962997,2.121782524027723,1.6059992249989787,-0.8161127252768012
all_events,440,moisture_16in,early_0_3h,23,160,0.8201551931297102,0.6505750233640453,0.4850916420741377,0.004213297920182546
all_events,440,moisture_20in,early_0_3h,19,135,0.24967694590747358,0.9057658061947889,0.7256501780124002,0.42956457481930627
all_events,440,moisture_4in,early_0_3h,144,1575,0.2538355291481565,2.490693747508214,2.014368214138551,-0.7246738762253336
all_events,440,moisture_4in,post3_late_storage,110,1398,0.9253385781512121,0.9207308062331918,0.3362634444498385,0.12279854478946853
all_events,440,moisture_4in,post3_mid_storage,75,931,0.9588856532076507,0.6869934602616987,0.4702535707475194,-0.11588506421757244
all_events,440,moisture_8in,early_0_3h,17,145,0.5471815590035047,1.2052706543077498,0.7907202628209092,0.30200283046293425
all_events,450,moisture_12in,early_0_3h,15,166,0.9870974368290482,1.0195666234338907,0.6768384903433663,0.18753832767279213
all_events,450,moisture_12in,post3_late_storage,11,193,0.9909444986287793,0.7273324422923831,0.371401984032073,0.02686523480478556
all_events,450,moisture_12in,post3_mid_storage,9,128,0.9846632962563721,1.2450882517988198,0.6320998261334975,-0.005687012996828972
all_events,450,moisture_4in,early_0_3h,248,2751,0.8629102108426617,1.430271409824192,0.7576412827551938,0.15838205561198124
all_events,450,moisture_4in,post3_late_storage,185,3302,0.13151151088657087,3.314016659123126,2.661849853877494,-2.3749605476344775
all_events,450,moisture_4in,post3_mid_storage,135,2205,0.9372907988297756,0.891342089905058,0.3938129000218302,-0.07024561048693592
all_events,450,moisture_8in,early_0_3h,60,674,0.21623492119714646,2.969350578634724,2.3587944849819635,-2.2382948470855473
all_events,450,moisture_8in,post3_late_storage,44,1340,0.9675458643924426,0.5006969975685174,0.35705442912546864,-0.05646231099472249
all_events,450,moisture_8in,post3_mid_storage,32,541,0.9749591115927932,0.5406438674824365,0.430594183700237,-0.0749121598092722
all_events,455,moisture_12in,early_0_3h,13,152,0.9828388379738906,1.5970302138077253,0.9413573433351289,0.19272608947693115
all_events,455,moisture_12in,post3_late_storage,11,146,0.9889272120120907,1.3289435393239861,0.7394811927549019,-0.007736700046997468
all_events,455,moisture_12in,post3_mid_storage,8,82,0.9735921651321663,1.9122827750469027,1.1543321574635301,0.16627478698567136
all_events,455,moisture_4in,early_0_3h,238,2814,0.7692176760645303,3.8962603131127618,3.1145124692101533,0.10089533278514447
all_events,455,moisture_4in,post3_late_storage,222,2673,0.9815233651077858,1.2635989553711626,0.45511584741951067,0.1657794964582694
all_events,455,moisture_4in,post3_mid_storage,204,2835,0.9005168378821463,2.5301441435009395,1.750457900175911,-0.7814152029944625
all_events,455,moisture_8in,early_0_3h,42,503,0.9970360339981827,0.6464662949466119,0.4048770186950814,0.025921696009085494
all_events,455,moisture_8in,post3_late_storage,38,732,0.9971758826720126,0.6512230568196918,0.43732910749640874,0.006504598479501956
all_events,455,moisture_8in,post3_mid_storage,33,532,0.9917671233965157,0.9528828549593379,0.6091692182215355,-0.10300729108165528
all_events,460,moisture_12in,early_0_3h,19,216,0.9644459025371195,0.8821193252256682,0.6695216668554859,-0.0010049036900703686
all_events,460,moisture_12in,post3_late_storage,12,437,0.9848940853174178,0.5222190025017021,0.3589024463231345,-0.18885454397176019
all_events,460,moisture_12in,post3_mid_storage,10,144,0.9889918933407885,0.6472335312782341,0.3458776357190968,-0.037170598218815694
all_events,460,moisture_20in,early_0_3h,10,109,0.969331276122063,2.423916459419048,1.1929813705354066,0.5764474187689841
all_events,460,moisture_4in,early_0_3h,86,949,0.3978115447361677,2.5163976502617134,1.9851505681839923,-1.307078495933484
all_events,460,moisture_4in,post3_late_storage,65,1624,0.9875885844018745,0.364634283798896,0.25133269579427114,-0.010491848685595684
all_events,460,moisture_4in,post3_mid_storage,51,1119,0.9614302630856275,0.5998366947567159,0.42787274943938525,-0.10109257627156316
all_events,460,moisture_8in,early_0_3h,39,452,0.6296792704937691,1.9437398922508409,1.551226189698017,-0.7428706707783688
all_events,460,moisture_8in,post3_late_storage,30,970,0.9919901743660205,0.3173907951215,0.2220478888883607,-0.034852339790378405
all_events,460,moisture_8in,post3_mid_storage,19,364,0.9805215884236406,0.6513160482005355,0.4817254913297011,0.0183811908439587
all_events,470,moisture_4in,early_0_3h,10,114,0.8009708367728056,0.400067059680592,0.2898699081551454,0.07860761383492247
all_events,480,moisture_12in,early_0_3h,9,101,0.9793804042572595,0.7895004056245536,0.4728124165374758,0.18104848208977228
all_events,480,moisture_4in,early_0_3h,121,1301,0.968140069382641,0.6698286514800805,0.49938500827641097,-0.058054933847403
all_events,480,moisture_4in,post3_late_storage,78,2209,0.9777605103553995,0.5184476399415237,0.38330333014983786,0.025516316132361352
all_events,480,moisture_4in,post3_mid_storage,60,1130,0.6644117721657753,2.09319064571703,1.2561766974320587,-0.008119395762190054
all_events,480,moisture_8in,early_0_3h,36,373,0.935141157452535,0.8497090975606929,0.689801329140114,0.06333248202249252
