subset,site_id,layer,segment,events,points,ccc,rmse_mm,mae_mm,bias_mm,layer_label,segment_label,segment_short
clean_stageII_48h,125,moisture_8in,early_0_3h,22,264,0.9605582275918952,0.6475458219609497,0.4385878402870435,0.0583804632116601,8 in,"Early transient, 0-3 h",Early
clean_stageII_48h,125,moisture_8in,post3_mid_storage,18,500,0.95809126716429,0.6985504849459974,0.4950677251945081,-0.1127331923697434,8 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,125,moisture_8in,post3_late_storage,22,573,0.990381669204926,0.3573706537840818,0.2712753334367239,-0.0108046014886927,8 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,140,moisture_8in,early_0_3h,9,108,0.9603187697245804,0.4649564602046662,0.2883028490527196,0.0595697318543423,8 in,"Early transient, 0-3 h",Early
clean_stageII_48h,140,moisture_8in,post3_late_storage,9,120,0.9900331027714216,0.2341362563907472,0.1775868210548171,0.0133142685993974,8 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,260,moisture_8in,early_0_3h,20,240,0.9965308618061268,0.4064198838455964,0.277915382921636,-0.0296569975714084,8 in,"Early transient, 0-3 h",Early
clean_stageII_48h,260,moisture_8in,post3_mid_storage,20,373,0.9948432645739528,0.4416853763595879,0.3541917174607746,-0.0016182365906994,8 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,260,moisture_8in,post3_late_storage,20,413,0.997135774229244,0.3568243524466643,0.2664604998177382,-0.0135342153427201,8 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,270,moisture_8in,early_0_3h,10,120,0.988926521640698,0.4672901935954735,0.291211488721203,0.0748461376213466,8 in,"Early transient, 0-3 h",Early
clean_stageII_48h,270,moisture_8in,post3_mid_storage,10,293,0.9322940847173256,0.979677808516214,0.6206947346240416,-0.40064589980738,8 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,270,moisture_8in,post3_late_storage,10,204,0.9976067692256868,0.1934313673653651,0.1120465789997053,-0.0005267349012444,8 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,303,moisture_8in,early_0_3h,18,216,0.9775797839017392,0.989638806309535,0.6403495081497155,0.1174209093571215,8 in,"Early transient, 0-3 h",Early
clean_stageII_48h,303,moisture_8in,post3_mid_storage,16,463,0.9540208077891424,0.9472133287554112,0.6392922322638707,-0.1717816095734648,8 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,303,moisture_8in,post3_late_storage,18,672,0.9718356104116344,0.8814098506354227,0.5182328235482574,-0.1208098310557779,8 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,335,moisture_8in,early_0_3h,12,144,0.9927355064075152,0.790098743728856,0.5729722247146252,0.0073281358327827,8 in,"Early transient, 0-3 h",Early
clean_stageII_48h,335,moisture_8in,post3_mid_storage,11,184,0.9966590211882422,0.5676482615926023,0.3519415933061779,-0.0124967741961388,8 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,335,moisture_8in,post3_late_storage,12,226,0.9967467586411488,0.5775900952737582,0.4036615954537956,-0.0770303799511511,8 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,405,moisture_8in,early_0_3h,21,252,0.9949537228590908,0.4692182794696357,0.3679910666050944,0.0008989830905776,8 in,"Early transient, 0-3 h",Early
