layer,regime_proxy,storage_bin,storage_norm,loss_mm_h_median,loss_mm_h_q25,loss_mm_h_q75,points
moisture_16in,stage-II-like,"(0.533, 0.6]",0.5665537633739125,0.406400000000005,0.2844800000000003,0.6908799999999999,212
moisture_16in,stage-II-like,"(0.6, 0.667]",0.6334500324136365,0.46736000000000644,0.28448000000000206,0.690880000000007,196
moisture_16in,stage-II-like,"(0.667, 0.733]",0.6993548021201602,0.48767999999999745,0.3251199999999983,0.853439999999992,177
moisture_16in,stage-II-like,"(0.733, 0.8]",0.7661960688866636,0.48767999999999745,0.28448000000000206,0.8127999999999957,182
moisture_16in,stage-II-like,"(0.8, 0.867]",0.8342965472470647,0.487680000000001,0.24384000000000583,0.8229600000000072,188
moisture_16in,stage-II-like,"(0.867, 0.933]",0.9011501612307926,0.36576000000000874,0.24180799999999714,0.7315200000000104,191
moisture_16in,stage-II-like,"(0.933, 1.0]",0.9719476341752333,0.2032000000000025,0.08127999999999957,0.48767999999998324,333
moisture_20in,early-transient-heavy,"(-0.001, 0.0667]",0.02827290732755092,0.08128000000000668,0.040640000000010446,0.20319999999999538,638
moisture_20in,early-transient-heavy,"(0.0667, 0.133]",0.09712106451990057,0.24383999999999162,0.08128000000000668,0.48767999999999745,285
moisture_20in,early-transient-heavy,"(0.133, 0.2]",0.1648602347010831,0.20319999999999538,0.08128000000002089,0.4775200000000037,183
moisture_20in,early-transient-heavy,"(0.2, 0.267]",0.2335644731788461,0.3251199999999912,0.1625599999999956,0.5283199999999937,116
moisture_20in,early-transient-heavy,"(0.267, 0.333]",0.30127385048969757,0.4063999999999943,0.20319999999998117,0.8940800000000024,96
moisture_20in,early-transient-heavy,"(0.333, 0.4]",0.3642196564374389,0.36576000000000874,0.24383999999999162,0.8737599999999937,88
moisture_20in,early-transient-heavy,"(0.4, 0.467]",0.43214713050970344,0.47751999999999306,0.24383999999998096,1.7780000000000058,98
moisture_20in,early-transient-heavy,"(0.467, 0.533]",0.5049573312750509,2.2758400000000023,0.7823199999999986,3.0175200000000046,224
moisture_20in,early-transient-heavy,"(0.533, 0.6]",0.5666554205855003,2.133599999999994,0.5283199999999972,2.7533600000000007,170
moisture_20in,early-transient-heavy,"(0.6, 0.667]",0.6309006621526575,0.8940800000000095,0.3149600000000099,2.082800000000006,88
moisture_20in,early-transient-heavy,"(0.667, 0.733]",0.7018612673859862,0.9144000000000005,0.24384000000000583,1.5341600000000142,84
moisture_20in,early-transient-heavy,"(0.733, 0.8]",0.7647981551081664,0.426719999999996,0.16256000000001336,1.1785600000000045,64
moisture_20in,early-transient-heavy,"(0.8, 0.867]",0.8305078043549344,0.5283199999999937,0.16256000000000626,1.1379200000000083,75
moisture_20in,early-transient-heavy,"(0.867, 0.933]",0.9036814545992534,0.568959999999997,0.2032000000000025,1.056639999999991,92
moisture_20in,early-transient-heavy,"(0.933, 1.0]",0.9775337199217585,0.08127999999999247,0.040639999999996235,0.12192000000000291,225
moisture_20in,mixed_or_uncertain,"(-0.001, 0.0667]",0.02954862893845295,0.12191999999999581,0.08128000000000135,0.16255999999999915,30
moisture_20in,mixed_or_uncertain,"(0.0667, 0.133]",0.09860020590471306,0.16255999999999915,0.12192000000000291,0.2032000000000025,25
moisture_20in,mixed_or_uncertain,"(0.133, 0.2]",0.16422257402548274,0.16255999999999915,0.1625599999999956,0.2032000000000025,15
moisture_20in,mixed_or_uncertain,"(0.2, 0.267]",0.2180921735334073,0.36576000000000164,0.26416000000000395,0.487680000000001,3
moisture_20in,mixed_or_uncertain,"(0.267, 0.333]",0.2923239678012638,1.0566400000000016,0.6502399999999966,1.2192000000000007,3
moisture_20in,mixed_or_uncertain,"(0.333, 0.4]",0.35618212243594877,0.406400000000005,0.040640000000010446,1.3614400000000089,7
moisture_20in,mixed_or_uncertain,"(0.4, 0.467]",0.42607968095572496,0.3251200000000054,0.32512000000000185,0.5892799999999987,3
moisture_20in,mixed_or_uncertain,"(0.467, 0.533]",0.5045045314649633,0.36576000000000164,0.3251199999999983,0.9956800000000072,7
moisture_20in,mixed_or_uncertain,"(0.533, 0.6]",0.5683862199718317,0.30479999999999663,0.2438400000000005,0.44703999999999944,10
moisture_20in,mixed_or_uncertain,"(0.6, 0.667]",0.6385478465549423,0.28448000000000206,0.08128000000001911,0.3555999999999955,18
moisture_20in,mixed_or_uncertain,"(0.667, 0.733]",0.6967743917264423,0.3251199999999983,0.2540000000000049,0.3657600000000052,14
moisture_20in,mixed_or_uncertain,"(0.733, 0.8]",0.768701969678952,0.28448000000000206,0.20319999999999538,0.38607999999999976,15
moisture_20in,mixed_or_uncertain,"(0.8, 0.867]",0.8315537600729517,0.3251199999999983,0.12191999999999581,0.3860800000000033,19
moisture_20in,mixed_or_uncertain,"(0.867, 0.933]",0.8997383628199234,0.2032000000000238,0.15239999999999654,0.36576000000000164,20
moisture_20in,mixed_or_uncertain,"(0.933, 1.0]",0.9777654413559851,0.08127999999997826,0.040639999999996235,0.2438399999999934,32
moisture_20in,stage-I-like,"(-0.001, 0.0667]",0.03429795919368812,0.16255999999999915,0.08128000000000668,0.2032000000000096,33
moisture_20in,stage-I-like,"(0.0667, 0.133]",0.09911525958278125,0.16256000000001336,0.12192000000000291,0.2032000000000096,27
moisture_20in,stage-I-like,"(0.133, 0.2]",0.16701343401289703,0.20319999999998828,0.12192000000000291,0.24383999999999162,30
moisture_20in,stage-I-like,"(0.2, 0.267]",0.23349073568067236,0.16255999999999915,0.16255999999998494,0.2133600000000051,27
moisture_20in,stage-I-like,"(0.267, 0.333]",0.299124083599204,0.18287999999999904,0.12192000000000291,0.25400000000001555,28
moisture_20in,stage-I-like,"(0.333, 0.4]",0.3656885164807728,0.16256000000001336,0.12192000000000291,0.2032000000000096,25
